img_name       ,  v_m, v_std, animal
neutral_047.jpg, 5.88,	0.83,    cat
neutral_093.jpg, 5.75,	0.89,    dog
neutral_094.jpg, 5.63,	1.30,    cat
neutral_095.jpg, 6.13,	1.46,    dog
neutral_135.jpg, 6.00,	0.93,    cat
neutral_136.jpg, 5.88,	2.10,    dog
neutral_185.jpg, 6.25,	1.58,    cat
neutral_186.jpg, 5.75,	1.16,    cat
neutral_229.jpg, 7.50,	1.51,    dog
neutral_230.jpg, 5.88,	1.13,    dog
neutral_231.jpg, 5.63,	1.30,    dog
neutral_272.jpg, 5.38,	1.19,    cat
neutral_273.jpg, 6.13,	1.64,    dog
neutral_329.jpg, 6.38,	1.51,    cat
neutral_503.jpg, 6.63,	1.30,    dog
neutral_506.jpg, 6.25,	0.71,    dog
neutral_507.jpg, 6.75,	0.71,    cat
neutral_545.jpg, 6.63,	1.41,    cat
neutral_589.jpg, 7.13,	1.46,    cat
neutral_590.jpg, 5.75,	1.39,    dog
